date,time,temperature,relative_humidity,dew_point,wind_speed
01-01-2023,00:00,17.1,47,5.7,9.7
01-01-2023,01:00,16.2,45,4.4,9.4
01-01-2023,02:00,15.6,48,4.6,9.3
01-01-2023,03:00,15.1,49,4.5,9.7
01-01-2023,04:00,14.6,52,4.8,8.5
01-01-2023,05:00,14.6,57,6.2,8.7
01-01-2023,06:00,14.5,58,6.4,9.2
01-01-2023,07:00,14.5,60,6.8,10.6
01-01-2023,08:00,16.4,54,7.2,12.9
01-01-2023,09:00,19.2,46,7.3,13
01-01-2023,10:00,22,40,7.7,12.8
01-01-2023,11:00,24.5,35,8.1,12.2
01-01-2023,12:00,26.2,33,8.5,11.1
01-01-2023,13:00,27.1,31,8.4,9.2
01-01-2023,14:00,27.6,29,7.9,8.9
01-01-2023,15:00,27.6,28,7.6,8.9
01-01-2023,16:00,27.2,29,7.5,8.4
01-01-2023,17:00,25.2,32,7.5,6.5
01-01-2023,18:00,21.7,40,7.7,7.9
01-01-2023,19:00,20.5,44,7.9,9
01-01-2023,20:00,19.4,48,8.1,8.9
01-01-2023,21:00,18.3,52,8.3,9
01-01-2023,22:00,17.4,55,8.4,6.7
01-01-2023,23:00,16.7,58,8.4,6.6
02-01-2023,00:00,16.1,60,8.2,6.7
02-01-2023,01:00,15.4,62,8.1,6.7
02-01-2023,02:00,14.6,64,7.9,6.5
02-01-2023,03:00,14,66,7.7,6.8
02-01-2023,04:00,13.7,65,7.3,8.2
02-01-2023,05:00,13.1,65,6.7,9.2
02-01-2023,06:00,13,63,6.1,10.5
02-01-2023,07:00,12.9,62,5.7,11.2
02-01-2023,08:00,14.9,56,6.3,13
02-01-2023,09:00,18.2,48,7.1,11.3
02-01-2023,10:00,21.4,41,7.7,11.8
02-01-2023,11:00,24.2,36,8.3,11.4
02-01-2023,12:00,26,32,8.1,10.9
02-01-2023,13:00,27,29,7.5,10.1
02-01-2023,14:00,27.5,27,7,9.3
02-01-2023,15:00,27.6,27,6.7,8.5
02-01-2023,16:00,27.3,27,6.4,9.4
02-01-2023,17:00,25.5,32,7.8,8.1
02-01-2023,18:00,22.3,39,7.8,7.4
02-01-2023,19:00,20.7,45,8.2,7.2
02-01-2023,20:00,19.3,49,8.4,8
02-01-2023,21:00,18.7,51,8.2,7.4
02-01-2023,22:00,17.8,52,7.9,8.3
02-01-2023,23:00,16.7,56,7.8,8.3
03-01-2023,00:00,16.1,58,7.7,6.7
03-01-2023,01:00,16,57,7.5,9
03-01-2023,02:00,15.7,57,7.2,9.4
03-01-2023,03:00,15.2,59,7.1,9.4
03-01-2023,04:00,15,60,7.4,10.2
03-01-2023,05:00,14.9,65,8.3,12.6
03-01-2023,06:00,14.6,66,8.4,12.9
03-01-2023,07:00,14.4,67,8.3,12.6
03-01-2023,08:00,16,60,8.4,14.7
03-01-2023,09:00,18.7,52,8.5,14.9
03-01-2023,10:00,21.4,44,8.8,15.1
03-01-2023,11:00,24,37,8.5,14.3
03-01-2023,12:00,25.8,32,7.9,13.9
03-01-2023,13:00,26.8,28,6.9,13.7
03-01-2023,14:00,27.3,26,6.2,13.6
03-01-2023,15:00,27.4,26,5.9,13.5
03-01-2023,16:00,26.9,26,5.7,13.4
03-01-2023,17:00,25,31,6.6,11
03-01-2023,18:00,21.9,37,6.6,7.4
03-01-2023,19:00,20.7,41,6.8,8.4
03-01-2023,20:00,20.1,42,6.8,10.2
03-01-2023,21:00,19.5,44,6.9,11.1
03-01-2023,22:00,18.9,45,6.7,11.4
03-01-2023,23:00,18.2,46,6.4,12.3
04-01-2023,00:00,17.6,48,6.5,13.8
04-01-2023,01:00,17,51,6.9,15.8
04-01-2023,02:00,16.4,55,7.3,16.6
04-01-2023,03:00,15.9,58,7.6,16.7
04-01-2023,04:00,15.4,60,7.7,17.2
04-01-2023,05:00,14.5,65,8,17.2
04-01-2023,06:00,13.7,67,7.8,16.6
04-01-2023,07:00,13.2,68,7.5,17.2
04-01-2023,08:00,14.4,62,7.1,17
04-01-2023,09:00,16.4,51,6.4,21.3
04-01-2023,10:00,18.6,46,6.7,21.6
04-01-2023,11:00,20.9,39,6.6,21.7
04-01-2023,12:00,22.7,33,5.5,21.7
04-01-2023,13:00,24,25,3,20.6
04-01-2023,14:00,24.8,20,0.4,19.9
04-01-2023,15:00,25.1,18,-1.1,19.5
04-01-2023,16:00,24.6,18,-1,19.6
04-01-2023,17:00,22.6,24,0.9,15.6
04-01-2023,18:00,20.3,29,1.8,12.5
04-01-2023,19:00,19,32,2.1,12.7
04-01-2023,20:00,18.2,34,2,14.5
04-01-2023,21:00,17.5,35,1.9,16.3
04-01-2023,22:00,16.9,36,1.8,17.7
04-01-2023,23:00,16.1,38,1.7,18
05-01-2023,00:00,15.5,40,1.8,18.6
05-01-2023,01:00,14.8,42,2,18.4
05-01-2023,02:00,14.2,44,2,18.3
05-01-2023,03:00,13.7,45,2,18.2
05-01-2023,04:00,13.2,46,2,18.5
05-01-2023,05:00,12.8,52,3.2,19.4
05-01-2023,06:00,12.4,55,3.6,20
05-01-2023,07:00,12.3,58,4.1,20.3
05-01-2023,08:00,13.6,55,4.6,18.8
05-01-2023,09:00,15.8,49,5,21.9
05-01-2023,10:00,18.3,43,5.4,22.3
05-01-2023,11:00,20.6,39,6.3,21.7
05-01-2023,12:00,22.8,38,7.6,20.7
05-01-2023,13:00,24.4,37,8.8,19.7
05-01-2023,14:00,25.5,37,9.7,18.5
05-01-2023,15:00,25.9,37,10.2,17.6
05-01-2023,16:00,25.6,38,10.3,17.9
05-01-2023,17:00,23.6,40,9.3,15.8
05-01-2023,18:00,21.8,44,8.9,12.7
05-01-2023,19:00,21,43,8,13.6
05-01-2023,20:00,20.5,39,6.1,14
05-01-2023,21:00,19.9,34,3.7,14.5
05-01-2023,22:00,19.4,31,2,15.7
05-01-2023,23:00,19,32,1.9,17
06-01-2023,00:00,18.6,34,2.3,17.9
06-01-2023,01:00,18.1,35,2.2,18.4
06-01-2023,02:00,17.6,36,2.3,18.7
06-01-2023,03:00,17.1,38,2.7,18.7
06-01-2023,04:00,16.7,40,3,19.1
06-01-2023,05:00,16.1,44,3.9,19.8
06-01-2023,06:00,15.7,46,4,19.4
06-01-2023,07:00,15.4,48,4.3,18.2
06-01-2023,08:00,16.5,46,4.8,16.5
06-01-2023,09:00,18.7,43,5.7,19.8
06-01-2023,10:00,21.2,40,7.2,19.6
06-01-2023,11:00,23.6,39,9,19.2
